timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4
1743640412,83289.99000000,83289.98000000,83289.73000000,83289.22000000,83289.21000000,3.47320000,0.00096000,0.00007000,0.00021000,0.06234000,83289.15000000,83289.16000000,83289.99000000,83290.00000000,83290.01000000,0.00000000,0.00000000,0.00000000,0.14958000,0.00196000
1743640413,83289.99000000,83289.22000000,83289.21000000,83289.18000000,83289.15000000,2.18954000,0.00007000,0.00007000,0.00007000,0.00000000,83290.00000000,83292.00000000,83292.72000000,83292.73000000,83292.74000000,2.93959000,0.05997000,0.00014000,0.41720000,0.00008000
1743640415,83295.30000000,83295.29000000,83295.21000000,83295.20000000,83295.19000000,3.54056000,0.00097000,0.00021000,0.04831000,0.00007000,83290.00000000,83290.01000000,83290.03000000,83290.13000000,83290.17000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640415,83295.30000000,83295.20000000,83295.19000000,83294.96000000,83294.28000000,1.13177000,0.02014000,0.00007000,0.00007000,0.00007000,83295.31000000,83295.32000000,83296.00000000,83296.03000000,83296.06000000,1.99244000,0.00204000,0.06011000,0.00007000,0.00008000
1743640416,83309.23000000,83309.22000000,83309.21000000,83308.94000000,83308.71000000,2.77200000,0.00104000,0.00007000,0.00000000,0.00007000,83295.31000000,83295.32000000,83295.52000000,83295.98000000,83295.99000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640417,83309.23000000,83309.22000000,83309.21000000,83308.78000000,83308.74000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83306.37000000,83306.38000000,83306.84000000,83306.85000000,83306.86000000,6.28597000,0.00804000,0.00021000,0.75349000,0.00298000
1743640418,83306.36000000,83306.01000000,83306.00000000,83305.99000000,83305.76000000,2.79732000,0.00021000,0.05825000,0.01940000,0.00014000,83306.37000000,83306.38000000,83306.53000000,83306.84000000,83306.85000000,0.00886000,0.00251000,0.00260000,0.00007000,0.00007000
1743640419,83310.46000000,83310.45000000,83310.44000000,83310.26000000,83310.02000000,3.55461000,0.00096000,0.00007000,0.00000000,0.00021000,83306.37000000,83306.38000000,83306.53000000,83306.84000000,83306.85000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640420,83310.46000000,83306.36000000,83303.59000000,83295.32000000,83295.31000000,3.07509000,1.40513000,0.00000000,0.35560000,0.69748000,83310.47000000,83312.00000000,83312.29000000,83312.30000000,83312.91000000,1.35239000,0.05997000,0.00014000,0.16420000,0.00000000
1743640421,83310.46000000,83310.02000000,83310.01000000,83310.00000000,83309.22000000,1.73934000,0.00021000,0.04236000,0.05825000,0.00014000,83310.47000000,83311.33000000,83311.98000000,83311.99000000,83312.00000000,1.70531000,0.10744000,0.00000000,0.00023000,0.05997000
1743640422,83310.46000000,83308.00000000,83306.36000000,83303.76000000,83303.11000000,1.84964000,0.10600000,0.65988000,0.32522000,0.00000000,83310.47000000,83311.33000000,83311.98000000,83311.99000000,83312.00000000,1.46833000,0.10744000,0.00000000,0.00023000,0.05997000
1743640423,83310.46000000,83310.02000000,83310.01000000,83309.21000000,83309.11000000,1.81647000,0.00007000,0.00021000,0.00021000,0.00014000,83310.47000000,83310.48000000,83310.49000000,83310.50000000,83311.32000000,3.24825000,0.00216000,0.00021000,0.11850000,0.00053000
1743640424,83310.46000000,83310.02000000,83310.01000000,83309.21000000,83309.11000000,1.69603000,0.00007000,0.00021000,0.00021000,0.00014000,83310.47000000,83310.48000000,83311.75000000,83312.00000000,83312.14000000,3.46900000,0.00206000,0.00253000,0.05997000,0.00000000
1743640425,83310.46000000,83308.89000000,83299.71000000,83299.19000000,83298.35000000,2.48108000,0.00252000,0.00600000,0.02400000,0.41696000,83310.47000000,83310.60000000,83310.67000000,83311.31000000,83311.75000000,2.84774000,0.00034000,0.00258000,0.00010000,0.00000000
1743640426,83310.46000000,83310.02000000,83310.01000000,83309.21000000,83309.11000000,2.48107000,0.00021000,0.03072000,0.00007000,0.00000000,83310.47000000,83314.69000000,83316.88000000,83319.11000000,83320.88000000,2.81352000,0.01500000,0.42517000,0.79227000,0.00000000
1743640427,83310.46000000,83310.01000000,83309.21000000,83309.10000000,83308.57000000,2.79795000,0.03068000,0.00007000,0.02007000,0.00014000,83310.47000000,83310.50000000,83310.60000000,83310.65000000,83310.66000000,2.22959000,0.11850000,0.00034000,0.00021000,0.23254000
1743640428,83310.46000000,83309.21000000,83307.10000000,83306.71000000,83306.36000000,2.82795000,0.00021000,0.00000000,0.00000000,0.05581000,83310.47000000,83310.50000000,83310.65000000,83310.66000000,83311.31000000,1.76780000,0.11850000,0.00007000,0.00007000,0.00024000
1743640429,83310.46000000,83309.21000000,83307.59000000,83306.36000000,83306.02000000,2.86726000,0.00007000,0.00000000,0.03181000,0.00007000,83310.47000000,83310.50000000,83311.30000000,83311.31000000,83311.32000000,1.79710000,0.11850000,0.00044000,0.32251000,0.00009000
1743640430,83310.46000000,83309.21000000,83307.11000000,83306.02000000,83304.91000000,2.98389000,0.00021000,0.00000000,0.00000000,0.00600000,83310.47000000,83314.40000000,83314.69000000,83315.81000000,83318.34000000,1.72935000,0.00000000,0.37242000,0.33147000,0.00000000
1743640431,83310.46000000,83310.02000000,83310.01000000,83310.00000000,83309.21000000,1.73830000,0.00021000,0.06026000,0.11546000,0.00007000,83310.47000000,83310.50000000,83311.30000000,83311.31000000,83311.32000000,3.04718000,0.11850000,0.00030000,0.00010000,0.00023000
1743640432,83310.46000000,83310.45000000,83310.44000000,83310.36000000,83310.02000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83306.37000000,83306.38000000,83306.53000000,83306.54000000,83306.88000000,0.05771000,0.00186000,0.00007000,0.00259000,0.00007000
1743640433,83314.65000000,83314.64000000,83314.45000000,83314.40000000,83314.34000000,5.13278000,0.00000000,0.23451000,0.04831000,0.00000000,83306.37000000,83306.38000000,83306.53000000,83306.54000000,83306.88000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640434,83331.99000000,83331.98000000,83331.88000000,83331.83000000,83331.82000000,1.72396000,0.00097000,0.00015000,0.00021000,0.07012000,83314.66000000,83314.67000000,83314.68000000,83314.69000000,83315.30000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640435,83331.99000000,83326.58000000,83325.78000000,83324.48000000,83323.65000000,1.99036000,0.00007000,0.00007000,0.00132000,0.00300000,83332.00000000,83333.06000000,83333.07000000,83333.59000000,83333.99000000,1.47202000,0.00007000,0.00007000,0.00014000,0.00014000
1743640436,83331.99000000,83331.47000000,83330.00000000,83329.92000000,83328.02000000,1.88584000,0.00030000,0.05811000,0.00007000,0.00014000,83332.00000000,83332.01000000,83332.30000000,83332.36000000,83332.37000000,1.02142000,0.00245000,0.00020000,0.00308000,0.10535000
1743640437,83331.99000000,83329.66000000,83327.85000000,83326.05000000,83325.00000000,1.94892000,0.00030000,0.00030000,0.00030000,0.00013000,83332.00000000,83332.30000000,83332.36000000,83332.37000000,83332.40000000,0.83864000,0.00007000,0.00294000,0.00029000,0.00007000
1743640438,83331.99000000,83324.66000000,83322.98000000,83321.94000000,83321.44000000,3.57277000,0.19533000,0.04000000,0.00000000,0.00016000,83332.00000000,83332.41000000,83332.83000000,83332.84000000,83332.85000000,1.53729000,0.00007000,0.00120000,0.00120000,0.00270000
1743640439,83332.84000000,83332.83000000,83332.82000000,83332.80000000,83332.40000000,2.74929000,0.79325000,0.03729000,0.00000000,0.00000000,83332.00000000,83332.01000000,83332.30000000,83332.36000000,83332.37000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640440,83332.84000000,83332.29000000,83332.01000000,83332.00000000,83327.71000000,2.63650000,0.06853000,0.19312000,0.05804000,0.00000000,83332.85000000,83333.26000000,83333.62000000,83333.65000000,83334.00000000,0.91117000,0.00007000,0.00127000,0.00270000,0.05803000
1743640441,83332.84000000,83332.29000000,83332.01000000,83332.00000000,83331.47000000,1.79439000,0.06853000,0.20425000,0.05924000,0.00000000,83332.85000000,83333.26000000,83333.59000000,83333.60000000,83333.62000000,2.49282000,0.00007000,0.00021000,0.04824000,0.00120000
1743640442,83332.84000000,83332.83000000,83332.82000000,83332.48000000,83332.47000000,1.95170000,0.00097000,0.00007000,0.00007000,0.00007000,83332.85000000,83332.86000000,83333.00000000,83333.01000000,83333.59000000,3.30371000,0.00187000,0.00021000,0.18539000,0.00007000
1743640444,83339.99000000,83339.98000000,83339.96000000,83339.93000000,83339.92000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83332.85000000,83332.86000000,83333.00000000,83333.01000000,83333.03000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640444,83336.03000000,83336.02000000,83336.01000000,83336.00000000,83335.93000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83319.52000000,83319.53000000,83319.56000000,83320.00000000,83320.01000000,8.29630000,0.60371000,0.00000000,0.05825000,0.00000000
1743640446,83319.51000000,83319.50000000,83318.81000000,83318.80000000,83318.72000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83300.01000000,83300.02000000,83300.20000000,83300.26000000,83300.27000000,1.51527000,0.16863000,0.00259000,0.00007000,0.00007000
1743640446,83306.22000000,83306.21000000,83306.02000000,83306.01000000,83306.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83300.01000000,83300.02000000,83300.20000000,83300.21000000,83300.22000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640447,83301.33000000,83301.32000000,83300.94000000,83300.50000000,83300.49000000,0.29384000,0.00258000,0.00202000,0.00014000,0.00007000,83301.34000000,83301.35000000,83301.36000000,83301.37000000,83301.50000000,5.41741000,0.00186000,0.00021000,0.12108000,0.00021000
1743640448,83301.33000000,83301.32000000,83300.95000000,83300.94000000,83300.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83300.01000000,83300.02000000,83300.20000000,83300.29000000,83300.30000000,6.85702000,0.00187000,0.00507000,0.00000000,0.00000000
1743640449,83300.00000000,83299.99000000,83299.67000000,83299.60000000,83299.42000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83290.01000000,83290.02000000,83290.88000000,83290.89000000,83291.97000000,6.79590000,0.00195000,0.00000000,0.00007000,0.00021000
1743640450,83290.00000000,83289.99000000,83289.88000000,83289.59000000,83289.58000000,4.63598000,0.00136000,0.00007000,0.00021000,0.37015000,83290.01000000,83290.02000000,83290.20000000,83290.50000000,83290.51000000,0.86490000,0.00187000,0.00251000,0.00000000,0.00000000
1743640451,83290.00000000,83289.59000000,83289.58000000,83289.57000000,83289.26000000,4.66866000,0.00080000,0.12933000,0.00021000,0.00068000,83290.01000000,83290.20000000,83290.40000000,83290.55000000,83291.16000000,0.00467000,0.00258000,0.00000000,0.00014000,0.00000000
1743640452,83299.65000000,83299.64000000,83299.40000000,83299.39000000,83299.29000000,1.81467000,0.00089000,0.00014000,0.06033000,0.00000000,83290.01000000,83290.02000000,83290.20000000,83290.55000000,83292.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640453,83299.65000000,83299.64000000,83299.40000000,83299.39000000,83299.22000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83290.29000000,83290.30000000,83290.48000000,83290.71000000,83290.76000000,5.29570000,0.00187000,0.00256000,0.00000000,0.00007000
1743640454,83290.28000000,83290.00000000,83289.95000000,83289.88000000,83289.73000000,2.05933000,0.23116000,0.00821000,0.00017000,0.00007000,83290.29000000,83290.77000000,83290.93000000,83290.94000000,83290.95000000,3.95430000,0.00007000,0.00021000,1.04561000,0.00014000
1743640455,83290.28000000,83290.00000000,83289.73000000,83288.80000000,83288.75000000,2.39352000,0.23116000,0.00007000,0.00000000,0.00014000,83290.29000000,83290.94000000,83290.95000000,83290.96000000,83291.42000000,3.44766000,0.55954000,0.00028000,0.79373000,0.04014000
1743640456,83290.28000000,83290.27000000,83290.24000000,83290.23000000,83290.02000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83287.26000000,83287.27000000,83287.37000000,83287.43000000,83287.44000000,4.26116000,0.00187000,0.00007000,0.00007000,0.00007000
1743640457,83287.25000000,83287.24000000,83287.04000000,83287.03000000,83286.41000000,0.20494000,0.00116000,0.00007000,0.00007000,0.00007000,83287.26000000,83287.27000000,83287.36000000,83287.37000000,83287.47000000,4.25870000,0.00187000,0.00021000,0.16855000,0.00007000
1743640458,83287.25000000,83286.01000000,83286.00000000,83285.59000000,83285.42000000,0.37198000,0.00028000,0.05804000,0.00000000,0.00021000,83287.26000000,83288.03000000,83290.00000000,83290.05000000,83290.10000000,4.27256000,0.01796000,0.05804000,0.35560000,0.00000000
1743640459,83287.25000000,83287.24000000,83287.07000000,83287.04000000,83287.03000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83274.40000000,83274.89000000,83275.23000000,83275.60000000,83275.73000000,5.36692000,0.00007000,0.00007000,0.00000000,0.00007000
1743640461,83274.39000000,83274.38000000,83274.24000000,83274.01000000,83274.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83248.17000000,83248.18000000,83248.31000000,83248.32000000,83248.33000000,5.22481000,0.00015000,0.00007000,0.00021000,0.00007000
1743640462,83248.16000000,83248.15000000,83248.10000000,83248.01000000,83248.00000000,0.00606000,0.00097000,0.00007000,0.00007000,0.00217000,83248.17000000,83248.18000000,83248.32000000,83248.33000000,83248.34000000,5.69788000,0.00194000,0.00007000,0.00007000,0.00260000
1743640462,83248.16000000,83248.15000000,83248.10000000,83248.02000000,83248.01000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83244.77000000,83244.78000000,83244.93000000,83245.02000000,83245.45000000,5.59175000,0.00186000,0.00259000,0.00007000,0.00021000
1743640463,83244.76000000,83244.64000000,83244.60000000,83244.18000000,83244.15000000,0.28576000,0.00007000,0.00007000,0.00007000,0.00020000,83244.77000000,83245.45000000,83245.46000000,83245.65000000,83245.66000000,5.66836000,0.00007000,0.00007000,0.00021000,0.87460000
1743640464,83245.82000000,83245.81000000,83245.71000000,83245.70000000,83245.68000000,3.80401000,0.00112000,0.00021000,0.08801000,0.00007000,83244.77000000,83244.78000000,83244.93000000,83245.00000000,83245.02000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640465,83245.82000000,83245.71000000,83245.70000000,83245.66000000,83245.65000000,0.40591000,0.00007000,0.00007000,0.00007000,0.00007000,83245.83000000,83245.84000000,83245.98000000,83245.99000000,83246.00000000,3.48108000,0.00186000,0.00029000,0.63269000,0.22024000
1743640466,83245.82000000,83245.68000000,83245.65000000,83244.77000000,83244.76000000,1.33413000,0.00014000,0.00007000,0.00000000,0.00000000,83245.83000000,83245.99000000,83246.00000000,83246.01000000,83246.47000000,2.14381000,0.31353000,0.05832000,0.18992000,0.00021000
1743640467,83245.82000000,83245.81000000,83245.80000000,83245.71000000,83245.70000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83232.26000000,83232.27000000,83232.41000000,83232.79000000,83232.85000000,3.78040000,0.00097000,0.00259000,0.00000000,0.00007000
1743640468,83237.54000000,83237.53000000,83237.08000000,83237.07000000,83236.73000000,2.09803000,0.00145000,0.00007000,0.00035000,0.00021000,83232.26000000,83232.27000000,83232.41000000,83232.42000000,83232.58000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640469,83239.19000000,83239.18000000,83238.58000000,83238.57000000,83238.38000000,3.27016000,0.00428000,0.00007000,0.00015000,0.00000000,83237.55000000,83237.56000000,83237.67000000,83237.98000000,83237.99000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640471,83254.63000000,83254.62000000,83254.56000000,83254.48000000,83254.45000000,4.55985000,0.00103000,0.00139000,0.00247000,0.00127000,83239.20000000,83239.21000000,83239.24000000,83239.37000000,83239.43000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640471,83254.63000000,83252.18000000,83251.85000000,83250.81000000,83250.50000000,4.61929000,0.04127000,0.00000000,0.00007000,0.00014000,83254.64000000,83254.65000000,83256.00000000,83256.45000000,83256.47000000,1.29603000,0.00216000,0.05797000,0.00000000,0.00120000
1743640473,83273.91000000,83273.90000000,83273.84000000,83273.83000000,83273.80000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83254.64000000,83254.65000000,83254.68000000,83254.69000000,83254.82000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640473,83268.26000000,83268.25000000,83268.20000000,83268.01000000,83268.00000000,0.63925000,0.00096000,0.00007000,0.00039000,0.05804000,83268.27000000,83268.28000000,83268.44000000,83268.45000000,83269.26000000,3.53219000,0.00254000,0.00159000,0.17874000,0.00021000
1743640474,83268.26000000,83268.20000000,83268.01000000,83268.00000000,83267.85000000,0.40238000,0.00007000,0.00007000,0.00014000,0.00015000,83268.27000000,83268.28000000,83269.27000000,83269.58000000,83269.59000000,3.76485000,0.00264000,0.36052000,0.00014000,0.79288000
1743640475,83268.26000000,83268.20000000,83268.01000000,83268.00000000,83267.79000000,0.39451000,0.00007000,0.00007000,0.00014000,0.00007000,83268.27000000,83274.33000000,83323.29000000,83328.14000000,83340.00000000,4.30967000,0.00008000,0.12474000,0.00000000,0.02616000
1743640476,83268.26000000,83268.01000000,83268.00000000,83267.79000000,83267.37000000,2.46134000,0.00029000,0.05818000,0.00007000,0.00000000,83268.27000000,83268.28000000,83268.41000000,83268.42000000,83268.43000000,0.60958000,0.00264000,0.00007000,0.00014000,0.00045000
1743640477,83268.26000000,83268.00000000,83267.85000000,83267.79000000,83267.19000000,1.30622000,0.05811000,0.00015000,0.00000000,0.00021000,83268.27000000,83268.42000000,83268.43000000,83268.44000000,83268.45000000,2.27856000,0.00007000,0.00165000,0.00145000,0.00265000
1743640478,83268.26000000,83268.25000000,83268.20000000,83268.18000000,83268.14000000,0.46135000,0.00096000,0.00000000,0.00000000,0.00015000,83268.27000000,83268.28000000,83268.43000000,83268.44000000,83269.58000000,2.51863000,0.79554000,0.00127000,0.00007000,0.00000000
1743640479,83268.26000000,83268.01000000,83268.00000000,83267.85000000,83267.72000000,0.46135000,0.00037000,0.05804000,0.00015000,0.00021000,83268.27000000,83268.28000000,83268.89000000,83269.59000000,83270.00000000,2.57252000,0.79544000,0.00120000,0.13532000,0.05818000
1743640480,83268.26000000,83266.43000000,83258.87000000,83256.01000000,83254.63000000,0.70374000,0.00251000,0.34428000,0.35560000,0.00000000,83268.27000000,83268.28000000,83268.41000000,83268.43000000,83270.00000000,2.56798000,0.79544000,0.14221000,0.00378000,0.05811000
1743640481,83268.26000000,83268.25000000,83268.20000000,83268.14000000,83268.01000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,83264.16000000,83264.17000000,83264.48000000,83264.49000000,83264.50000000,5.85285000,0.00186000,0.00021000,0.29309000,0.00014000
1743640482,83264.15000000,83264.01000000,83264.00000000,83263.45000000,83263.44000000,0.11958000,0.00027000,0.00007000,0.00007000,0.00007000,83264.16000000,83266.00000000,83266.56000000,83267.82000000,83268.41000000,6.44053000,0.05797000,0.35560000,0.00007000,0.00000000
1743640483,83264.15000000,83264.06000000,83264.01000000,83264.00000000,83263.96000000,2.06115000,0.00007000,0.00021000,0.05804000,0.00000000,83264.16000000,83264.49000000,83264.50000000,83264.51000000,83264.89000000,4.16377000,0.29309000,0.00007000,0.00015000,0.00007000
1743640484,83265.58000000,83265.57000000,83265.54000000,83265.53000000,83265.34000000,3.71832000,0.00089000,0.00000000,0.00000000,0.00014000,83264.16000000,83264.17000000,83264.48000000,83264.49000000,83264.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640485,83269.99000000,83269.98000000,83269.74000000,83269.73000000,83269.72000000,1.97265000,0.00089000,0.00000000,0.00000000,0.00000000,83265.59000000,83265.60000000,83265.66000000,83265.70000000,83265.73000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640486,83269.99000000,83269.68000000,83269.62000000,83269.61000000,83269.60000000,1.96819000,0.00022000,0.00000000,0.00000000,0.00007000,83270.00000000,83270.01000000,83270.02000000,83270.25000000,83270.26000000,2.56043000,0.37249000,0.00007000,0.00021000,0.79288000
1743640487,83269.99000000,83269.68000000,83269.62000000,83269.61000000,83269.60000000,4.03183000,0.00015000,0.00014000,0.05240000,0.04838000,83270.00000000,83270.01000000,83270.02000000,83270.13000000,83270.24000000,1.17085000,0.00210000,0.20597000,0.00014000,0.00000000
1743640488,83270.01000000,83270.00000000,83269.99000000,83269.98000000,83269.62000000,5.78953000,1.38763000,1.56171000,0.00000000,0.00000000,83270.00000000,83270.01000000,83270.02000000,83270.03000000,83270.13000000,0.00000000,0.00000000,0.11003000,0.00196000,0.00014000
1743640489,83274.05000000,83274.00000000,83273.99000000,83273.98000000,83273.89000000,3.49076000,0.05804000,0.00000000,0.00000000,0.35134000,83270.02000000,83270.03000000,83270.13000000,83270.18000000,83270.19000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640490,83276.07000000,83276.06000000,83276.01000000,83276.00000000,83275.99000000,3.98744000,0.00096000,0.00014000,0.10607000,0.00000000,83274.06000000,83274.07000000,83274.33000000,83274.58000000,83274.59000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
