timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4
1745397034,94194.72000000,94188.00000000,94187.71000000,94187.70000000,94187.69000000,2.38708000,0.04883000,0.44423000,0.21413000,0.00000000,94194.73000000,94198.70000000,94209.52000000,94217.40000000,94223.59000000,5.17820000,0.00000000,0.05000000,0.13248000,0.00000000
1745397035,94194.72000000,94182.30000000,94181.19000000,94178.65000000,94178.64000000,2.38712000,0.00008000,0.01759000,0.00000000,0.00010000,94194.73000000,94213.54000000,94228.39000000,94228.99000000,94229.19000000,5.08406000,0.21413000,0.00000000,3.00000000,0.00000000
1745397036,94194.72000000,94187.72000000,94178.64000000,94178.55000000,94178.35000000,2.38638000,0.00012000,0.00000000,0.00000000,0.00000000,94194.73000000,94201.10000000,94221.13000000,94222.13000000,94223.53000000,5.27781000,0.00530000,0.00000000,0.00000000,0.00000000
1745397037,94194.72000000,94194.61000000,94194.01000000,94193.83000000,94193.82000000,1.87691000,0.00000000,0.00007000,0.00009000,0.00000000,94194.73000000,94200.79000000,94203.48000000,94204.42000000,94206.78000000,5.32990000,0.00000000,0.00000000,0.05000000,0.76410000
1745397038,94194.72000000,94194.71000000,94194.70000000,94194.57000000,94194.36000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,94188.01000000,94188.02000000,94188.49000000,94188.57000000,94188.70000000,9.74375000,0.57246000,0.00000000,0.00000000,0.00000000
1745397039,94188.00000000,94186.20000000,94185.06000000,94183.65000000,94182.47000000,1.93667000,0.00007000,0.01090000,0.00318000,0.70061000,94188.01000000,94193.50000000,94194.00000000,94194.73000000,94197.56000000,9.20219000,0.09076000,0.00000000,0.04804000,0.05000000
1745397040,94188.00000000,94187.17000000,94186.86000000,94186.65000000,94185.06000000,6.72324000,0.70063000,0.00009000,0.00000000,0.01090000,94188.01000000,94188.02000000,94188.66000000,94188.70000000,94188.71000000,5.07555000,0.00000000,0.00000000,0.00000000,0.00000000
1745397041,94188.00000000,94187.18000000,94185.06000000,94184.08000000,94184.03000000,4.84081000,0.45114000,0.01090000,0.00000000,0.00000000,94188.01000000,94188.71000000,94188.72000000,94188.73000000,94188.83000000,5.03997000,0.00000000,0.00028000,0.10777000,0.00012000
1745397042,94188.00000000,94176.10000000,94175.84000000,94174.53000000,94174.27000000,4.69319000,0.00000000,0.00010000,0.00000000,0.00000000,94188.01000000,94188.52000000,94188.72000000,94189.81000000,94198.74000000,4.99122000,0.00007000,0.00018000,0.00007000,0.00000000
1745397043,94188.00000000,94187.99000000,94185.05000000,94178.08000000,94176.37000000,4.78996000,0.00360000,0.00439000,0.00006000,0.00530000,94188.01000000,94191.38000000,94191.39000000,94191.40000000,94192.71000000,4.98495000,0.30941000,0.02723000,0.53022000,0.00000000
